num,name
"UN-32699","FF_AMD"
"UN-34669","HH"
"UN-35489","OO"
"UN-37399","F"
"AU-39225","II"
"99-39000","DD"
"UN-39960","II"
"UN-39994","DD"
"UN-40241","FF"
"UN-40546","FF"
"99-11221","F"
"UN-41883","FF"
"UN-41886","FF"
"UN-43442","FF"
"UN-43545","FF"
"UN-39696","FF"
"UN-43869","ZZ"
"UN-45001","DD"
"UN-44305","C_ICAN"
"UN-44418","C_ICAN_Junk a Car"
"99-99997","DD"
"99-99996","DD"
"UN-44485","D"
"UN-44425","I_HV_AD"
"UN-44688","II"
"UN-44675","ZZ"
"UN-44757","II"
"99-00240","D"
"UN-45104","FF"
"UN-45251","FF"
"UN-45420","HH"
"UN-45845","FF"
"UN-45875","FF"
"UN-45877","FF"
"UN-45886","FF"
"UN-45889","FF"
"UN-45890","FF"
"UN-45888","FF"
"UN-46136","II"
"UN-46199","ZZ"
"UN-46536","ZZ"
"UN-47085","ZZ"
"UN-47281","YY"
"UN-47385","ZZ"
"UN-47976","FF"
"UN-48343","C_ICAN"
"UN-48498","YY"
"UN-48736","ZZ"
"UN-49071","II"
"UN-49507","GG - Do not use - requires SVP approval"
"UN-49571","ZZ"
"UN-49905","FF"
"UN-49913","GG_custom_all-0.012"
"UN-49958","F"
"UN-49998","ZZ"
"UN-50523","YY"
"IR-50550","ZZ"
"UN-50662","YY"
"UN-50647","YY"
"UN-50889","YY"
"UN-50961","FF1"
"UN-51337","YY"
"UN-51339","KK"
"UN-51363","YY"
"UN-51436","ZZ"
"UN-51568","C_ICAN"
"UN-51608","C_ICAN"
"UN-51635","FF"
"UN-51709","II"
"UN-51689","YY1"
"UN-51765","KK"
"UN-51886","ZZ"
"UN-52103","YY"
"UN-52143","II"
"UN-52137","ZZ"
"UN-52151","GG - Do not use - requires SVP approval"
"UN-52149","FF"
"UN-52226","YY"
"UN-52326","YY"
"UN-52405","ZZ"
"UN-52437","OO"
"CA-52845","YY"
"UN-52848","C_ICAN - Sokolove (PBE)"
"UN-53118","GG - Do not use - requires SVP approval"
"99-94444","F"
"UN-53628","YY"
"UN-54013","II"
"CA-54208","YY"
"CA-54323","FF"
"CO-55192","FF1_Vialinx3"
"UN-56259","ZZ"
"UN-57284","YY"
"UN-57936","YY"
"UN-58039","GG_American Support"
"UN-58088","GG - Do not use - requires SVP approval"
"CA-58443","YY"
"UN-58699","II"
"UN-58674","YY"
"CA-58836","FF_organo"
"UN-59055","YY"
"CA-59079","YY"
"UN-59203","ZZ"
"UN-59343","II_kit_hb"
"UN-59353","C_ICAN"
"UN-93039","ZZ"
"UN-93073","QQ"
"UN-93123","YY"
"IS-93140","QQ"
"UN-93225","QQ"
"UN-93151","ZZ"
"UN-93224","QQ_Synapse"
"UN-93306","QQ"
"UN-93481","YY"
"UN-93485","QQ"
"UN-93587","YY"
"UN-93600","FF"
"UN-93993","GG_custom_all-0.012"
"UN-93992","GG_custom_all-0.012"
"UN-93991","GG_custom_all-0.012"
"UN-94068","GG_custom_all-0.012"
"UN-94115","YY"
"UN-94287","QQ"
"UN-94284","QQ"
"UN-94286","QQ"
"UN-94283","QQ"
"UN-94330","QQ"
"UN-94324","QQ"
"UN-94325","QQ"
"UN-94332","QQ"
"UN-94333","QQ"
"UN-94334","QQ"
"UN-94370","QQ"
"UN-94338","QQ"
"UN-94335","QQ"
"UN-94339","QQ"
"UN-94336","QQ"
"UN-94337","QQ"
"UN-94356","QQ"
"UN-94354","QQ"
"UN-94352","QQ"
"UN-94375","QQ_Synapse"
"UN-94364","QQ"
"UN-94496","YY1"
"UN-94545","YY1_Big Dog Overage $0.0125"
"UN-94712","YY"
"UN-94726","ZZ"
"IS-94710","QQ_NICE"
"UN-94874","QQ"
"UN-94951","ZZ"
"UN-94975","ZZ"
"UN-94977","YY"
"UN-94949","ZZ"
"UN-95212","QQ"
"UN-95498","QQ"
"UN-95495","YY"
"UN-95513","QQ"
"CA-95641","YY"
"UN-56028","DD"
"UN-56014","DD"
"UN-56019","DD"
"99-73428","DD"
"UN-56098","DD"
"UN-56141","DD"
"UN-56136","DD"
"UN-56143","DD"
"UN-56137","DD"
"UN-56100","DD"
"UN-56142","DD"
"UN-56101","DD"
"UN-56138","DD"
"UN-59360","ZZ"
"UN-59991","YY"
"UN-60334","FF"
"CA-60353","FF"
"UN-60420","YY"
"UN-60484","FF"
"UN-60518","C_ICAN"
"99-73743","DD"
"UN-60562","YY"
"UN-61816","YY"
"UN-61889","YY"
"UN-61915","II_care"
"UN-61945","ZZ"
"UN-62055","II"
"UN-62242","YY"
"UN-62337","YY"
"UN-62796","DD"
"UN-63426","ZZ"
"UN-63667","YY"
"UN-63668","FF1"
"UN-63751","QQ"
"UN-63732","LL"
"UN-65078","ZZ"
"UN-65075","FF_itok"
"UN-65140","YY"
"UN-65665","YY"
"UN-66218","FF-all 1.34"
"UN-66252","YY"
"UN-66263","QQ1"
"UN-66449","II"
"UN-66670","YY"
"UN-66714","YY"
"UN-66569","FF"
"UN-66860","ZZ"
"UN-66979","FF1_Oasis Marketing"
"UN-67089","Life Station"
"UN-67174","FF-all 1.34"
"UN-67278","ZZ"
"UN-67375","YY"
"CA-67194","OO_AVG Consumer"
"UN-67408","QQ"
"UN-67296","Greenwood & Hall"
"UN-67800","QQ"
"UN-67791","II"
"UN-68003","YY"
"UN-68031","QQ"
"UN-68243","YY"
"UN-68244","YY"
"UN-68238","YY"
"UN-68239","FF"
"UN-68316","FF"
"UN-68455","QQ"
"UN-68066","C_ASHWORTH"
"UN-68763","LL"
"CA-68290","YY1"
"UN-68937","QQ"
"UN-69226","YY"
"UN-69194","QQ_Abercrombie"
"UN-69258","QQ_Centura Health"
"UN-69859","ZZ"
"PH-69906","LL"
"UN-70036","QQ"
"UN-70225","ZZ"
"UN-70329","II"
"UN-70328","II"
"UN-70366","LL"
"UN-70456","YY"
"UN-70746","II"
"UN-71565","ZZ"
"UN-71589","ZZ1"
"UN-70550","QQ"
"UN-71841","ZZ"
"UN-71990","ZZ"
"UN-72256","FF1"
"UN-72312","ZZ"
"UN-72874","YY"
"UN-72895","QQ"
"UN-72894","YY"
"UN-72919","YY"
"UN-73031","ZZ"
"UN-73051","YY"
"UN-73125","LL"
"UN-73858","QQ"
"UN-74138","LL"
"UN-74282","YY"
"UN-74424","ZZ"
"UN-76448","YY"
"UN-76463","QQ"
"CA-76697","YY"
"UN-80639","ZZ"
"UN-81069","LL"
"UN-81367","II"
"UN-81754","QQ"
"UN-81755","ZZ"
"UN-81387","GG_NxStage Medical"
"UN-82178","ZZ"
"UN-83522","YY"
"UN-84010","YY"
"UN-83991","LL"
"UN-89673","YY"
"UN-89740","YY"
"UN-89780","YY"
"UN-89840 ","ZZ"
"UN-89915","ZZ"
"UN-89962","YY"
"UN-90150","FF"
"UN-91324","ZZ"
"UN-91421","YY"
"UN-91787","QQ_M3Health"
"UN-91988","YY"
"UN-91986","ZZ"
"UN-92004","LL"
"UN-92130","YY"
"UN-92253","ZZ"
"UN-92342","LL_Seibels"
"UN-92372","YY"
"UN-92371","LL"
"IN-92489","SS_Teachheal CA"
"UN-92613","YY"
"UN-92661","ZZ"
"UN-92707","YY"
"UN-92713","ZZ"
"UN-92700","ZZ"
"UN-92752","LL"
"UN-92758","YY"
"UN-92801","ZZ"
"UN-92855","QQ"
"CA-92873","YY"
"UN-92907","ZZ"
"UN-93007","QQ"
